,city,street,number
68, г. Находка, пр-кт. Находкинский,108
69, г. Находка, бульвар Озерный,7
70, г. Находка, ул. Ручейная,29
71, г. Находка, ул. Садовая,1
72, г. Находка, ул. Северная,10
73, г. Находка, ул. Сенявина,15
74, г. Находка, ул. Школьная,18
75, г. Находка, пер. Школьный,1
76, г. Находка, ул. Юбилейная,12
77, г. Артем, ул. Амурская,46
78, г. Артем, ул. Донбасская,17
79, г. Артём, ул. Интернациональная,58
80, г. Артем, ул. Кирова,42
81, г. Артем, ул. Кирова,57
82, г. Артем, ул. Кирова,62
83, г. Артем, ул. Кирова,77
84, г. Артем, ул.Кирова,89
85, г. Артем, ул. Кирова,92
86, г. Артем, ул. Кирова,138
87, г. Артем, ул. Ключевая,1
88, г. Артем, ул. Севастопольская,27
89, с. Олений, ул. Силина,15
90, г. Артем, ул. Фрунзе,6
91, г. Артем, ул. Фрунзе,28
92, г. Артем, ул. Фрунзе,101
93, г. Артем, ул. Чайковского,53
94, г. Ижевск, ул. Буммашевская,15
95, г. Воркута, ул. Дончука,9Б
96, г. Воркута, ул. Ленина 16А,16А
97, г. Воркута, ул. Ленина,33Б
98, г. Воркута, ул. Ленина,45
99, г. Сыктывкар, ул. Куратова,95а
100, г. Сыктывкар, ул. Оплеснина,34
101, г. Сыктывкар, ул. Советская,14
102, г. Сыктывкар, ул. Советская,59
103, г. Сыктывкар, ул. Южная,15
104, г. Первоуральск, ул. Зои Космодемьянской,20
105, г. Сыктывкар, ул. Димитрова,44 дробь 1
106, г. Сыктывкар, ул. Катаева,29
107, г. Сыктывкар, ул. Катаева,37
108, г. Сыктывкар, ул. Пушкина,116 дробь 6
109, г.Сыктывкар, ул. Старовского,20
110, г.Сыктывкар, ул. Старовского,22
111, г. Сыктывкар, ул. Старовского,53
112, г. Сыктывкар, ул. Карла Маркса,120
113, г. Сыктывкар, ул. Малышева 21,21
114, г. Сыктывкар, ул. Печорская,56
115, город Воронеж, площадь Ленина,1
116, г. Улан-Удэ, проспект Строителей,62А
117, г. Улан-Удэ, ул. Королева,10
118, г. Улан-Удэ, проспект 50-летия Октября,50-летия Октября
119, город Улан-Удэ, улица Кирова,35
120, г. Улан-Удэ, ул. Родины,8
121, г. Улан-Удэ, ул. Мокрова,30
122, г. Улан-Удэ, ул. Богданова,2А (2-е зд.)
123, г. Улан-Удэ, ул. Буйко,32
124, город Улан-Удэ, улица Буйко,28А
125, г. Улан-Удэ, ул. Буйко,29а
126, г. Улан-Удэ, у лица Воронежская,3
127, город Улан-Удэ, Геологическая улица,23
128, г. Улан-Удэ, ул. Горхонская,3А
129, город Улан-Удэ, ул. Кабанская,52
130, г. Улан-Удэ, ул. Моховая,6
131, г. Улан-Удэ, ул. Новая,44 (2-е зд.)
132, г. Улан-Удэ, ул. Профсоюзная,38
133, г. Улан-Удэ, ул. Радищева,11А
134, г. Улан-Удэ, ул. Сахалинская,32
135, г. Улан-Удэ, ул. Чертенкова,34
136, г. Улан-Удэ, ул.Санаторно-лесная школа,1
137, г. Улан-Удэ, ул. Гагарина,73 б
138, г. Улан-Удэ, ул. Бабушкина,31
139, г. Череповец, ул. Вологодская,48
140, г. Череповец, ул. Гоголя,21
141, г. Череповец, ул. Мира,25
142, г. Череповец, пр-кт Победы,10
143, г. Череповец, пр-кт Победы,18
144, г. Череповец, ул. Рыбинская,37
145, г. Череповец, ул. Сталеваров,26
146, г. Мурманск, улица Шевченко,32
147, г. Нижневартовск, ул. Северная,52
148, г. Комсомольск-на-Амуре, мкр. Дружба,35
149, г. Комсомольск-на-Амуре, ул. Копровая,12
150, г. Мурманск, ул. Карла Маркса,13
151, г. Мурманск, ул. Подгорная,56
152, г. Мурманск, ул. Ломоносова,16
153, г. Мурманск, ул. Лобова,9 корп. 6
154, г. Мурманск, ул. Калинина,36
155, г. Мурманск, улица Алексея Хлобыстова,34
156, г. Первоуральск, ул. Чкалова,17
157, г. Первоуральск, ул. Чкалова,26
158, г. Комсомольск-на-Амуре, ш. Комсомольское,26
159, г. Комсомольск-на-Амуре, пр-кт Ленина,20
160, г. Комсомольск-на-Амуре, пр-кт Октябрьский,35
161, г. Комсомольск-на-Амуре, ул. Пионерская,73
162, г. Комсомольск-на-Амуре, ул. Севастопольская,51
163, г. Комсомольск-на-Амуре, ул. Аллея Труда,13
164, г. Воронеж, ул. Хмельницкого,60
165, г. Воронеж, Ленинский проспект,124
166, г. Уссурийск, ул. Владивостокское шоссе,113А
167, г. Астрахань, ул. Адмирала Нахимова,62
168, п. Молодежный, ул. Комсомольская,19
169, г. Астрахань, ул. Артельная,7
170, г. Астрахань, ул. Бабушкина,52
171, г. Астрахань, Коммунистическая,48
172, г. Астрахань, ул. Коммунистическая,12
173, г. Астрахань, Сабанс Яр,11
174, г. Астрахань, пер. Смоляной,4
175, г. Астрахань, ул. Таганская,30
176, г. Астрахань, ул. Туапсинская,34
177, г. Астрахань, ул. Тургенева,4
178, г. Астрахань, ул. Шаумяна,60
179, г. Серов, ул. 8 Марта,8 Марта
180, г. Серов, ул. Агломератчиков,19
181, г. Серов, ул. Жданова,5
182, г. Серов, ул. Калинина,28
183, г. Серов, ул. Короленко,16
184, г. Серов, ул. Красногвардейская,11
185, г. Серов, ул. Крупской,24
186, г. Серов, ул. Ленина,167
187, г. Серов, ул. Ленина,185
188, г. Серов, ул. Лизы Чайкиной,31
189, г. Серов, ул. Малыгина,1
190, г. Серов, ул. Попова,19
191, г. Серов, ул. Республиканская,30
192, г. Артем, ул. Ворошилова,13
193, г. Артем, ул. Гагарина,135
194, г. Артем, ул. Днепростроевская,6
195, г. Артем, ул. Михайловская,1
196, г. Артем, ул. Ремзаводская,5
197, с. Олений, ул. Силина,23
198, город Нижневартовск, улица Ленина,6
199, г. Уссурийск, пр-кт. Блюхера,82
200, г. Уссурийск, ул. Слободская,5
201, г. Уссурийск, пр-кт. Блюхера,16
202, г. Нижний Тагил, Октябрьский проспект,16
203, г. Майкоп, ул. Калинина,210
204, г. Воронеж, ул. Елецкая,6
205, город Первоуральск, ул. Ватутина,41
206, г. Первоуральск, пр. Космонавтов,1
207, г. Первоуральск, пр-кт Космонавтов,12
208, г. Первоуральск, ул. Красноармейская,22
209,  г. Первоуральск, ул. Папанинцев ,8
210, г. Первоуральск, пр. Ильича,6
211, г. Первоуральск, ул. Строителей,7
212, г. Первоуральск, ул. Строителей,9
213, г. Майкоп, ул. Кирпичная,75
214, г. Майкоп, ул. Пионерская,374
215, г. Майкоп, ул. 12 Марта,12 Марта
216, г. Майкоп, ул. Гоголя,2
217, г. Майкоп, ул. Загородная,4
218, г. Майкоп, ул. Краснооктябрьская,51
219, г. Майкоп, ул. Крестьянская,236
220, г. Майкоп, ул. Пушкина,173
221, г. Артем, ул. Михайловская,1А
222, г. Первоуральск, ул. Ватутина,73-Б
223, г. Первоуральск, ул. Карбышева,1 а
224, г. Первоуральск, ул. Комсомольская,21 Б
225, г. Первоуральск, пр. Космонавтов,15 А
226, г. Первоуральск, ул. Ленина,21 Б
227, г. Находка, ул Пирогова,14
228, г. Нижний Тагил, ул. Бобкова,3
229, г. Нижний Тагил, ул. Верхняя Черепанова,17А
230, г. Нижний Тагил, ул. Гагарина,11
231, г. Нижний Тагил, ул. Гвардейская,12
232, г. Нижний Тагил, ул. Гвардейская,20
233, город Нижний Тагил, ул. Гвардейская,24
234, г. Нижний Тагил, ул. Жуковского,5А
235, г. Нижний Тагил, ул. Зари,30
236, г. Нижний Тагил, ул. Зари,32
237, г. Нижний Тагил, ул. Известковая,9
238, г. Нижний Тагил, ул. Ильича,22
239, г. Нижний Тагил, ул. Ильича,12
240, г. Нижний Тагил, Калинина,2А
241, г. Нижний Тагил, ул. Карла Либкнехта,30
242, г. Нижний Тагил, ул. Карла Либкнехта,37
243, г. Нижний Тагил, ул. Коминтерна,47
244, г. Нижний Тагил, ул. Коминтерна,59
245, город Нижний Тагил, ул. Сергея Коровина 1,1
246, город Нижний Тагил, ул. Липовый тракт,11
247, г. Ухта, ул. Кирпичная,23
248, поселок городского типа Шудаяг, ул. Тимирязева,33
249, г. Ухта пгт. Шудаяг, ул. Шахтинская,9
250, г. Кисловодск, ул. Красноармейская,10
251, г. Кисловодск, ул. Крылова,16
252, г. Кисловодск, ул. Ленинградская,22
253, г. Кисловодск, ул. Челюскинцев,5
254, г.Нижний Тагил, ул.Карла Маркса,2
255, г. Нижний Тагил, ул. Алтайская,35
256, г. Нижний Тагил, ул. К.Маркса,49
257, г. Нижний Тагил, ул. Фрунзе,25А
258, г. Нижний Тагил, ул. Красноармейская,107А
259, г. Нижний Тагил, ул. Аганичева,16 лит. А
260, г. Нижний Тагил, ул. Октябрьской революции,2
261, г. Нижний Тагил, ул. Газетная,27
262, г. Нижний Тагил, ул. Газетная,71
263, г. Нижний Тагил, ул. Газетная,83А
264, г. Нижний Тагил, ул. Щорса,8
265, г. Нижний Тагил, ул. Энтузиастов,15
266, г. Нижний Тагил, ул. Новострой,11
267, г. Нижний Тагил, ул. Окунева,45
268, г. Нижний Тагил, ул. Оплетина,11А
269, г. Нижний Тагил, ул. Островского,3
270, г. Нижний Тагил, ул. Пархоменко,13
271, г. Нижний Тагил, ул. Пархоменко,109
272, г. Нижний Тагил, ул. Патона,7
273, г. Нижний Тагил, ул. Перова,133
274, г. Нижний Тагил, ул. Пихтовая,16
275, г. Нижний Тагил, ул. Победы,35
276, г. Нижний Тагил, ул. Попова,17
277, г. Нижний Тагил, ул. Радищева,3
278, г. Нижний Тагил, ул. Сланцевая,13А
279, г. Нижний Тагил, ул. Тимирязева,76А
280, г. Нижний Тагил, ул. Тимирязева,109
281, г. Нижневартовск, ул. 60 лет Октября,60 лет Октября
282, город Нижневартовск, улица Таежная,24
283, г. Нижний Тагил, проспект Ленина,27
284,  г. Нижний Тагил, просп. Ленина,38
285, г. Находка, ул. Горького,8
286, г. Находка, ул. Нахимовская,21А
287, г. Ухта, ул. Озёрная,10
288, г. Ухта, ул. Набережная Нефтяников,18
289, г. Ухта, ул. Чибьюская,28
290, г. Ухта, ул. Юбилейная,14
291, г. Ухта, ул. Бушуева,2
292, г. Ухта, ул. 30 лет Октября,30 лет Октября
293, п. Билимбай, площадь Свободы,2
294, г. Самара, ул. Гагарина,36
295, г. Самара, ул. Мостовая,12
296, г. Самара, ул. Советской Армии,212
297, г. Самара, ул. Советской Армии,27
298, г. Владивосток, ул. 50 лет ВЛКСМ,50 лет ВЛКСМ
299, г. Владивосток, ул. Артековская,9
300, г. Владивосток, ул. Баляева,38
301, г. Владивосток, ул. Баляева,46
302, г. Владивосток, ул. Борисенко,22
303, г. Владивосток, ул. Борисенко,104
304, г. Владивосток, ул. Ватутина,24
305, г. Владивосток, ул. Волкова,3
306, г. Владивосток, ул. Воропаева,31
307, г. Владивосток, ул. Гризодубовой,50
308, г. Владивосток, ул. Куйбышева,1
309, г. Владивосток, ул. Невельского,31
310, г. Владивосток, ул. Нейбута,26
311, г. Владивосток, ул. Пацаева,2
312, г. Владивосток, ул. Терешковой,25
313, г. Владивосток, ул. Фадеева,61
314, г. Владивосток, ул. 1 Морская,1 Морская
315, г. Владивосток, ул. 2-я Шоссейная,2-я Шоссейная
316, г. Владивосток, ул. Адмирала Фокина,25
317, г. Владивосток, ул. Амурская,14
318, г. Владивосток, ул. Амурская,90
319, г. Владивосток, ул. Бородинская,7
320, г. Владивосток, ул. Бородинская,16
321, г. Владивосток, ул. Бородинская,27
322, г. Владивосток, ул. Вострецова,9
323, г. Владивосток, ул. Героев Тихоокеанцев,3
324, г. Владивосток, ул. Интернациональная,48
325, г. Владивосток, ул. Иртышская,6
326, г. Владивосток, ул. Иртышская,40
327, г. Владивосток, ул. Калинина,153
328, г. Владивосток, ул. Котельникова,14
329, г. Владивосток, пр-кт. Красного Знамени,92
330, г. Владивосток, ул. Минеральная,17
331, г. Владивосток, ул. Невская,5
332, г. Владивосток, ул. Нерчинская,32
333, г. Владивосток, ул. Нерчинская,44
334, г. Владивосток, ул. Овчинникова,34
335, г. Владивосток, Океанский проспект,88
336, г. Владивосток, ул. Олега Кошевого,26
337, г. Владивосток, ул. Пионерская,1
338, г. Владивосток, ул. Пирогова,7
339, г. Владивосток, ул. Постышева,37
340, г. Владивосток, ул. Пушкинская,19
341, г. Владивосток, ул. Пушкинская,39
342, г. Владивосток, ул. Русская,43
343, г. Владивосток, ул. Сабанеева,8
344, г. Владивосток, ул. Светланская,152 (здание КГА ПОУ Промышленный колледж энергетики и связи
345, г. Владивосток, ул. Светланская,207
346, г. Владивосток, ул. Уборевича,8
347, г. Владивосток, ул. Успенского,73
348, г. Владивосток, ул. Харьковская,7
349, г. Владивосток, ул. Черемуховая,2
350, г. Владивосток, ул. Чкалова,15
351, г. Владивосток, ул. Шилкинская,19
352, г. Владивосток, ул. Шошина,27
353, город Сургут, улица Энгельса,8
354, город Сургут, улица Энгельса,10 (здание администрации Сургутского района)
355, г. Вологда, ул. Петрозаводская,5
356, г. Элиста, мкр. 3,3
357, г. Екатеринбург, ул. Крауля,79
358, г. Реж, ул. Пушкина,2
359, город Богданович, ул. Тимирязева,2
360, с. Архиповка, ул. Советская,3
361, деревня Паново, ул. Центральная,3
362, г. Камешково, ул. Совхозная,18
363, поселок Батрацкая Дача, ул. Центральная,1
364, г. Киров, Мопра ул.,34
365, город Омутнинск, улица Юных Пионеров,20
366, п. Монгохто, ул. Театральная,18
367, г. Большой Камень, ул. Блюхера,25
368, г. Лесозаводск, ул. 9 Января,9 Января
369, г. Партизанск, ул. Булгарова,15
370, г. Уссурийск, ул. Положкниа,75
371,  д. Дьячево, мкр. санатория Решма - 1,1
372, г. Большой Камень, ул. Маслакова,10а
373, рп. Заветы Ильича, ул. Октябрьская,
374, пгт. Ванино, ул. 4-я Линия,4-я Линия
375, рп. Ванино, ул. Киевская,2
376, п. Чегдомын, ул. Центральная,48
377, п. Чегдомын, ул. Центральная,52
378, пос. Чегдомын, ул. Центральная,47
379, г. Чебоксары, пр-кт. Ленина,48
380, с. Камень-Рыболов, ул. Пионерская,8
381, с. Воздвиженка, ул. Ленинская,69А
382, г. Александровск-Сахалинский, ул. Дзержинского,17-3
383, г. Макаров, ул. Школьная,26
384, г. Советская Гавань, ул. Полины Осипенко,1а
385, пгт. Октябрьский, ул. Вокзальная,4
386, г. Владивосток, ул. 4-я Восточная,4-я Восточная
387, поселок городского типа Левинцы, улица 70-летия Октября,70-летия Октября
388, г. Березовский, ул. Лермонтова,9
389, г. Асбест, ул. Советская,12
390, г. Печора, Печорский пр-т,84
391, г. Инта, ул. Куратова,40
392, г. Сосногорск, ул. Спортивная,8
393, г. Новосокольники, ул. Бабахина,21
394, с. Коржевка, ул. Школьная,1
395, с. Большая Кандала, ул. Парк Победы,5
396, с. Анненково-Лесное, ул. Площадь Победы,5
397, с. Урено-Карлинское, ул. Полевая,39
398, п. Нежино, ул. Шоссейная,14
399, с. Виноградовка, ул. Советская,56
400, с. Зеркальное, ул. Школьная,1
401, с. Черниговка, ул. 8 марта,8 марта
402, с. Федосьевка, ул. Советская,18
403, с. Буранчи, ул. Набережная,22
404, с. Державино, ул. Советская,41
405, с. Залесово, ул. Советская,49
406, с. Воздвиженка, ул. Советская,99
407, с. Покровка, ул. Кооперативная,12 А
408, п. Лесопитомник, ул. Набережная,3.
409, с. Трудовое, пер. Почтовый,2.
410, с. Желтое, ул. Советская,19
411, с. Адамовка, ул. Советская,1
412, с. Соболево, ул. Советская,54.
413, с. Дюсьметьево, Центральная улица,88
414, п. Федоровка 1-я, ул. Кирова,1-я
415, п. Белоусово, ул. Гагарина,15
416, с. Мегра, ул. Центральная,12
417, п. Янишево, ул. Центральная,13
418, город Кирс, улица Кирова,14
419, с. Тияпино, ул. Школьная,32А
420, п. Караванный, ул. Советская,10
421, с. Каменноозерное, Центральная улица,7
422, с. Подгородняя Покровка, ул. Кооперативная,44
423, с. Левашовка, ул. Школьная,1
424, с. Студеное, ул. Советская,15
425, с. Голосновка, ул. Марии Петровой,3
426, село Стадница, Центральная улица,15
427, с. Первая Васильевка, ул. Молодежная,1
428, с. Малая Приваловка, ул. Ленина,27
429, село Сухие Гаи, улица Ленина,5А
430, село Кутки, Административная улица,7
431, п. Полежаевский, ул. Центральная,2
432, с. Поляна, ул. Проезжая,12 А
433, с. Дегтярное, ул. Мира,27
434, с. Верхние Марки, ул. Новая Жизнь,11 Б
435, с. Владимировка, ул. Тамбовская,7
436, село Кривая Поляна, улица Школьная,7
437, село Криница, переулок Рабочий,1А
438, с. Ближняя Полубянка, ул. Центральная,5
439, п. Грушевая Поляна, ул. Садовая,11
440, с. Тройня, ул. Гагарина,123
441, село Сериково, ул.Советская дом 50,50
442, с. Вязовка, ул. Центральная,123
443, п. Казанка, ул. Центральная,33 А
444, п. Терехово, ул. Центральная,33
445, с. Попасное, ул. Октябрьская,82 В
446, село Советское, Советская улица,49
447, с. Четвериково, ул. Кирова,35
448, поселок Пробуждение, Центральная улица,2
449, с. Вервековка, ул. Пролетарская,126
450, п. Вишневый, ул. Гвардейская,20А
451, с. Щелкун, ул. Гагарина,10
452, с. Вольно-Надеждинское, ул. Пушкина,53
453, г. Уссурийск, ул. Советская,32
454, г. Майкоп, ул. Гагарина,13
455, п. Дружный, ул. Рабочая,14
456, c. Соленое, ул. Ленина,37
457, п. Кевюды, ул. Мира,3
458, с. Попово, ул. Пролетарская,27
459, с. Лихачи, ул. Чапаева,21
460, с. Покровка, ул. Центральная,36
461, слобода Екатериновка, ул. Центральная,75
462,  п. совхоза Раздолье, ул. Школьная,9
463, с. Селявное (Селявинское сельское поселение), ул. 9 Мая,9 Мая
464, с. Богатое, ул. Комсомольская,4б
465, с. Дубовое, ул. Молодежная,8
466, с. Венцелево, ул. Центральная 3,3
467, с. Мирное, ул. Рабочая,5
468, г. Амурск, проспект Комсомольский,11А
469, село Лямбирь, улица Ленина,2
470, х. Усть-Невинский, ул. Кубанская,57
471, х. Перевальный, ул. Новая,32
472, п. Темижбекский, ул. Момотова,1
473, х. Фельдмаршальский, ул. Ленина,164
474, с. Верхнерусское, ул. Подгорная,154
475, х. Андреевский, ул. Школьная,1
476, с. Моргауши, ул. Мира,6
477, п. Харпичан, ул. Школьная,27
478, поселок городского типа Тужа, улица Горького,16
479, г. Ветлуга, ул. Ленина,48б
480, с. Ершичи, ул. Ленина,84А
481, поселок городского типа Верхошижемье, Комсомольская улица,3
482, поселок городского типа Свеча, улица Свободы,19
483, поселок Ревякино, улица Советская,5А
484, пгт. Гари, ул. Комсомольская,52
485, с. Хоринск, ул. Гражданская,6
486, с. Кетово, ул. Космоновтов,9а
487, д.Александровка, ул.Школьная  ,301383
488, п. Хвойный, ул. Набережная,19
489, д. Уница,,
490, с. Спасская Губа, Петровская ул.,53
491, п. Хийтола,ул. Ленина,16
492, п. Тиурула, ул. Солнечная,19
493, п. Амбарный, ул. Ленина,1А
494, п. Кестеньга, ул. Сухорукова,
495, п. Повенец, ул. Пролетарская,2а
496, с. Ведлозеро, Промышленная ул.,1
497, пгт. Надвоицы, ул. Ленина,9А
498, п. Валдай, Школьная улица,
499, п. Идель, Центральная улица,
500, п. Пуйккола, ул. Центральная,6
501, п. Пийтсиеки, ул. Центральная,16Б
502, село Петровка, ул. Трудовая,23А
503, поселок Доброполье, ул. Урожайная,8
504, поселок Совхозный, ул. Широкая,5 дробь 1
505, село Доброе, ул. Грайворонская,8а
506, село Зыбино, ул. Центральная,2
507, поселок Быценков, ул. Центральная,2
508, село Зинаидино, ул. Школьная,3
509, село Коньшино, ул. Центральная,1а
510, село Толстое, ул. Центральная,34 дробь 1
511, поселок Кировский, ул. Центральная,11 дробь 2
512, село Владимировка, ул. Победы,44
513, село Неклюдово, ул. Советская,3
514, село Луханино, ул. Новая,18А
515, с. Бутово, ул. Магистральная,44
516, село Новиково, ул. Сосновая,3
517, село Чужиково, ул. Центральная,22
518, село Приосколье, ул. Широкая,1
519, село Нагольное, ул. Демократическая,29
520, село Преображенка, ул. Центральная,36б
521, хутор Малый, ул. Молодежная,2
522, село Палатово, ул. Набережная,5б дробь 1
523, село Ближнее Чесночное, ул. Подгорная,60
524, село Большие Липяги, ул. Молодежная,8
525, село Белый Плес, ул. Комсомольская,57А
526, село Староуколово, ул. Центральная,59 дробь 2
527, п. Ивановка, ул. Школьная,28А
528,  п. Пятилетка, ул. Школьная,2А
529, п. Мирный, ул. Ленина,8
530, д.Староновицкая, ул.Школьная,1
531, с. Творишино, ул. Центральная,107
532, с. Морачово, ул. Пролетарская,8
533, с. Большие Щербиничи, ул.Центральная,6
534, с. Акуличи, ул. Молодежная,19
535, с. Новые Юрковичи, ул. Советская,86
536, с. Сачковичи, ул. Ленина,34
537, с. Хоромное, ул. Октябрьская,151
538, с. Медведово, ул. Молодежная,1
539, с. Киваи, ул. Буденного,45
540, д. Добровольская, ул. Садовая,9
541, с. Быхово, ул. Молодежная,18
542, с. Апажа, ул. Центральная,9
543, с. Игрицкое, ул. Луганская,35
544, с. Бобрик, ул. Молодежная,23
545, с. Евдокимовка, ул. Школьная,10
546,  с. Колюды, ул. Центральная,10
547, с. Великая Дуброва, ул. Советская,12
548, с. Шумарово, пер. Афанасьева,5
549, с. Старый Кривец, ул. Школьная,1Б
550, с. Городище, ул. Чапаева,
551, с.Суворово, ул.Первомайская,2А
552, д. Лутовиновка, ул. Садовая,8
553, п. Косицы, ул. Центральная,11
554, с. Алешковичи, пер. Советский,1
555, с. Зерново, ул. Центральная,46
556, с. Селечня, ул. Школьная,6
557, п. Холмечи, ул. Песочная,1
558, г.Сураж, ул.Лесная,3
559, с. Нивное, ул. Ленина,60А
560, с. Овчинец, ул. Потужного,22
561, д. Вьюково, ул. Молодежная,21 дробь 1
562, д. Городцы, ул. Трубчевская,134
563, с. Юрово, ул. Центральная,5
564, п. Лукново, ул. Советская,2А
565, пгт. Октябрьский, ул. Советская,1А
566, д. Осинки, ул. Шоссейная,13
567, п. Галицы, ул. Школьная,1
568, Село Гришино, Ленина,33
569, с. Григорьево, ул. Заречная,17
570, п. Золотково, ул. Советская,14
571, п. Иванищи, Советская улица,
572, Деревня Финеево, Центральная,48
573, Село Смолино, Дорожная,3а
574, Деревня Толстиково, Центральная,18 дробь 2
575, Деревня Григорово, Центральная,18 дробь 2
576, д. Алешунино , ул. Школьная,1
577, с. Борисоглеб, ул. Коминтерна,18
578, Деревня Курилово, Садовая,20
579, Село Мордыш, Центральная,32
580, с. Сима, ул. Советская,54
581, село Андреевка (Холоднянское с дробь п), ул. Центральная,6
582, село Сагайдачное, ул. Центральная,1
583, село Масловка, ул. Молодежная,27
584, село Коломыцево, ул. Центральная,53
585, г. Ульяновск, ул. Мелексесская,4
586, с. Каргино, ул. Советская,6
587, Заря п, Набережная ул 20,20
588, п. Сарана, ул. Заводская,51
589, п. Лосиный, ул. Комсомольская,2
590, с. Курьи, ул. Школьная,3
591, п. Баранчинский, ул. Победы,9
592, город Новоуральск, ул. Ленина,38 а
593, г. Верхняя Тура, ул. Володарского,1
594, г. Красноуральск, ул. Парковая,5
595, г. Десногорск, Промзона АЭС,
596, п. Троицкий, ул. Ленина,29
597, г. Майкоп, пер. Клубный,1
598, п. Азиатская, ул. Стадионная ,1б
599, г. Первоуральск, ул. Красноармейская,62
600, г. Ульяновск, ул. Бебеля,3
601, деревня Дивасы, ул. Мичурина,23
602, г. Вязьма, ул. Плотникова,11
603, деревня Новое Село, ул. Центральная,57
604, п.Троицкий, ул. Железнодорожная,32
605, город Смоленск, проезд Маршала Конева,28Е
606, г. Вязьма, пер. Страховой,2
607, г. Велиж, площадь Дзержинского,4
608, г. Гагарин, Первомайский проезд,1а
609, с. Глинка, ул. Красная,13
610, г. Демидов, ул. Мира,1
611, г. Дорогобуж, ул.Чистякова,2
612, г. Ельня, ул. Первомайская,45
613, с. Ершичи, ул. Советская,3
614, п. Кардымово, ул. Ленина,63
615, п. Красный, ул. Ленина,36
616, г. Починок, ул. Кирова,3а
617, г. Рославль, ул. Первомайская,33
618, г. Рудня, ул. Заводская,6
619, г. Сафоново, ул. Октябрьская,86
620, п. Тёмкино, ул. Ефремова,1 а
621, п. Угра, ул. Ленина,43
622, п. Хиславичи, ул. Пушкина,10 а
623, п. Холм-Жирковский, ул. Новая,5
624, п. Шумячи, ул. Понятовская,52
625, г. Ярцево, ул. Советская,8
626, г. Звенигово, ул. Ленина,1
627, с. Пульниково, ул. Школьная,6
628, г. Ревда, ул. Азина,81
629, г. Ульяновск , ул.Школьная,27
630, г. Димитровград, ул. Мориса Тореза,4
631, г. Владивосток, остров Русский,40
632, д. Добромино, ул. Школьная,15
633, д. Булгаково, ул. Школьная,2
634, д. Волоковая, ул. Центральная,12
635, деревня Покорное, ул. Школьная,
636, д. Власово, ул. Школьная,14
